Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 8,Autumn,Representations,Representing Data,Represent data in two-way tables,238,Two-way tables
Year 8,Autumn,Representations,Tables and Probability,Construct sample spaces for 1 or more events,249,Sample space diagrams
Year 8,Autumn,Representations,Tables and Probability,Find probabilities from a sample space,249,Sample space diagrams
Year 8,Autumn,Representations,Tables and Probability,Find probabilities from two-way tables,238,Two-way tables
Year 8,Autumn,Representations,Tables and Probability,Find probabilities from Venn diagrams,355,Probabilities from Venn diagrams of frequencies (no set notation)
Year 8,Autumn,Representations,Tables and Probability,Use the product rule for finding the total number of possible outcomes,381,Product rule for counting (Fundamental Counting Principle)
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Form algebraic expressions,198,Forming linear algebraic expressions and formulae from a given context
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Use directed number with algebra,197,"Substitution with decimals, negative integers and fractions"
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Multiply out a single bracket,252,Expanding a single bracket
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Factorise into a single bracket,253,Factorising out a single term
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Expand multiple single brackets and simplify,252,Expanding a single bracket
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Expand a pair of binomials,299,Expanding double brackets
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities","Solve equations, including with brackets",254,"Solving linear equations where the variable appears on one side of the equation only, including brackets"
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Form and solve equations with brackets,254;259,"Solving linear equations where the variable appears on one side of the equation only, including brackets | Forming and solving linear equations from a given context (excluding angles)"
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Understand and solve simple inequalities,339;309,Solving linear inequalities in one variable | Understanding algebraic statements of inequality
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Form and solve inequalities,342,Forming and solving linear inequalities from a given context
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Solve equations and inequalities with unknowns on both sides,257;340,Solving linear equations where the variable appears on both sides of the equation | Solving linear inequalities with one variable on both sides
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities",Form and solve equations and inequalities with unknowns on both sides,259;342,Forming and solving linear equations from a given context (excluding angles) | Forming and solving linear inequalities from a given context
Year 8,Spring,Algebraic Techniques,"Brackets, Equations and Inequalities","Identify and use formulae, expressions, identities and equations",190,Algebraic terminology
Year 8,Spring,Algebraic Techniques,Sequences,Generate sequences given a rule in words,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 8,Spring,Algebraic Techniques,Sequences,Generate sequences given a simple algebraic rule,204,Generating terms of a sequence given a position-to-term rule
Year 8,Spring,Algebraic Techniques,Sequences,Generate sequences given a complex algebraic rule,204,Generating terms of a sequence given a position-to-term rule
Year 8,Spring,Algebraic Techniques,Sequences,Find the rule for the nth term of a linear sequence,205,nth term formula for arithmetic sequences (no standard formulae)
Year 8,Spring,Algebraic Techniques,Indices,Adding and subtracting expressions with indices,193,Collecting like terms
Year 8,Spring,Algebraic Techniques,Indices,Simplifying algebraic expressions by multiplying indices,194;158;191,Algebraic index laws (basic) | Numerical index laws (basic) | Multiplying single algebraic terms (no index laws)
Year 8,Spring,Algebraic Techniques,Indices,Simplifying algebraic expressions by dividing indices,194;192,Algebraic index laws (basic) | Dividing single algebraic terms (no index laws)
Year 8,Spring,Algebraic Techniques,Indices,Using the addition law for indices,194,Algebraic index laws (basic)
Year 8,Spring,Algebraic Techniques,Indices,Using the addition and subtraction law for indices,194,Algebraic index laws (basic)
Year 8,Spring,Algebraic Techniques,Indices,Exploring powers of powers,194;358,Algebraic index laws (basic) | Expressing a power using a different base
Year 8,Spring,Developing Number,Fractions and Percentages,"Convert fluently between key fractions, decimals and percentages",172,"Converting between any terminating decimal, fraction and percentage less than 100%"
Year 8,Spring,Developing Number,Fractions and Percentages,"Calculate key fractions, decimals and percentages of an amount without a calculator",57;130,"Fractions of an amount | Calculating a simple percentage of an amount, using chunking"
Year 8,Spring,Developing Number,Fractions and Percentages,"Calculate fractions, decimals and percentages of an amount using calculator methods",219,"Percentage of an amount, using decimal multipliers"
Year 8,Spring,Developing Number,Fractions and Percentages,Convert between decimals and percentages greater than 100%,174,"Converting between terminating decimals, fractions and percentages greater than 100%"
Year 8,Spring,Developing Number,Fractions and Percentages,Percentage decrease with a multiplier,221,"Value after a general percentage change, using decimal multipliers"
Year 8,Spring,Developing Number,Fractions and Percentages,Calculate percentage increase and decrease using a multiplier,221,"Value after a general percentage change, using decimal multipliers"
Year 8,Spring,Developing Number,Fractions and Percentages,Express one number as a fraction or a percentage of another without a calculator,214,Determining what percentage one number is of another
Year 8,Spring,Developing Number,Fractions and Percentages,Express one number as a fraction or a percentage of another using calculator methods,214,Determining what percentage one number is of another
Year 8,Spring,Developing Number,Fractions and Percentages,Work with percentage change,215,Percentage change
Year 8,Spring,Developing Number,Fractions and Percentages,Choose appropriate methods to solve percentage problems,,
Year 8,Spring,Developing Number,Fractions and Percentages,Find the original amount given the percentage less than 100%,223;222,Reverse percentage problems using decimal multipliers | Reverse percentage problems using chunking
Year 8,Spring,Developing Number,Fractions and Percentages,Find the original amount given the percentage greater than 100%,223,Reverse percentage problems using decimal multipliers
Year 8,Spring,Developing Number,Fractions and Percentages,Choose appropriate methods to solve complex percentage problems,,
Year 8,Spring,Developing Number,Standard Form,Investigate positive powers of 10,301,Conversion of large numbers to and from standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Work with numbers greater than 1 in standard form,301,Conversion of large numbers to and from standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Investigate negative powers of 10,302,Conversion of small numbers to and from standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Work with numbers between 0 and 1 in standard form,302,Conversion of small numbers to and from standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Compare and order numbers in standard form,301;302,Conversion of large numbers to and from standard form/scientific notation | Conversion of small numbers to and from standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Mentally calculate with numbers in standard form,,
Year 8,Spring,Developing Number,Standard Form,Add and subtract numbers in standard form,303,Adding or subtracting numbers in standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Multiply and divide numbers in standard form,304,Multiplying and dividing numbers in standard form/scientific notation
Year 8,Spring,Developing Number,Standard Form,Use a calculator to work with numbers in standard form,160,Using a scientific calculator
Year 8,Spring,Developing Number,Standard Form,Understand and use negative indices,298,Negative indices
Year 8,Spring,Developing Number,Standard Form,Understand and use fractional indices,,
Year 8,Spring,Developing Number,Number Sense,"Round numbers to powers of 10, and 1 significant figure",37;187,"Rounding a number to nearest 10, 100, 1000 and beyond | Rounding a number to a given number of significant figures"
Year 8,Spring,Developing Number,Number Sense,Round numbers to a given number of decimal places,75,Rounding a number to a given number of decimal places
Year 8,Spring,Developing Number,Number Sense,Estimate the answer to a calculation,188;186,Estimating by rounding | Estimating measures in context
Year 8,Spring,Developing Number,Number Sense,Understand and use error interval notation,189;216,Rounding errors (round-off errors) | Percentage error and relative error
Year 8,Spring,Developing Number,Number Sense,Calculate using the order of operations,115,Order of operations (no powers and roots)
Year 8,Spring,Developing Number,Number Sense,Calculate with money,127,Calculating with money in decimal notation (GBP/EUR/USD)
Year 8,Spring,Developing Number,Number Sense,Convert metric measures of length,107,Converting between metric units of measure
Year 8,Spring,Developing Number,Number Sense,Convert metric units of weight and capacity,107,Converting between metric units of measure
Year 8,Spring,Developing Number,Number Sense,Convert metric units of area,323,Converting between units of area and volume
Year 8,Spring,Developing Number,Number Sense,Convert metric units of volume,323,Converting between units of area and volume
Year 8,Spring,Developing Number,Number Sense,Solve problems involving time and the calendar,59,Time conversions
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Understand and use basic angles rules and notation,110,Sum of the angles on a straight line and angles around a point
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Investigate angles between parallel lines and the transversal,262,"Alternate, corresponding and co-interior angles"
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Identify and calculate with alternate and corresponding angles,262,"Alternate, corresponding and co-interior angles"
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,"Identify and calculate with co-interior, alternate and corresponding angles",262,"Alternate, corresponding and co-interior angles"
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Solve complex problems with parallel line angles,262,"Alternate, corresponding and co-interior angles"
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Construct triangles and special quadrilaterals,286,Drawing and constructing triangles
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Investigate the properties of special quadrilaterals,77,Types of quadrilaterals and triangles
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Identify and calculate with sides and angles in special quadrilaterals,151,Sum of angles in a quadrilateral
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Understand and use the properties of diagonals of quadrilaterals,,
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Understand and use the sum of exterior angles of any polygon,261,Interior and exterior angles of regular and irregular polygons
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Calculate and use the sum of the interior angles in any polygon,261,Interior and exterior angles of regular and irregular polygons
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Calculate missing interior angles in regular polygons,261,Interior and exterior angles of regular and irregular polygons
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Prove simple geometric facts,,
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Construct an angle bisector,284,Constructions with lines and angles
Year 8,Summer,Developing Geometry,Angles in Parallel Lines and Polygons,Construct a perpendicular bisector of a line segment,284,Constructions with lines and angles
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,"Calculate the area of triangles, rectangles and parallelograms",138;139;140,Area of a rectangle by using the formula | Area of a parallelogram | Area of a triangle
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Calculate the area of a trapezium,184;183,Area of trapeziums | Area of kites
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Calculate the perimeter and area of compound shapes (1),181;182,Area of composite rectilinear shapes | Area of composite shapes using rectangles and triangles
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Investigate the area of a circle,210,Area of a full circle
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Calculate the area of a circle and parts of a circle without a calculator,211,Area or perimeter of simple fractions of circles
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Calculate the area of a circle and parts of a circle with a calculator,211,Area or perimeter of simple fractions of circles
Year 8,Summer,Developing Geometry,Area of Trapezia and Circles,Calculate the perimeter and area of compound shapes (2),212;213;185,Perimeter of compound shapes that includes curved edges | Area of composite shapes involving circles | Related shape problems
Year 8,Summer,Developing Geometry,Line Symmetry and Reflection,Recognise line symmetry,,
Year 8,Summer,Developing Geometry,Line Symmetry and Reflection,Reflect a shape in a horizontal or vertical line 1 (shapes touching the line),153,Reflecting a shape on axes using a given mirror line
Year 8,Summer,Developing Geometry,Line Symmetry and Reflection,Reflect a shape in a horizontal or vertical line 2 (shapes not touching the line),153,Reflecting a shape on axes using a given mirror line
Year 8,Summer,Developing Geometry,Line Symmetry and Reflection,Reflect a shape in a diagonal line 1 (shapes touching the line),153,Reflecting a shape on axes using a given mirror line
Year 8,Summer,Developing Geometry,Line Symmetry and Reflection,Reflect a shape in a diagonal line 2 (shapes not touching the line),153,Reflecting a shape on axes using a given mirror line
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Set up a statistical enquiry,346;352,Data collection methods (excluding experiments) | Planning a statistical enquiry
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Design and criticise questionnaires,346,Data collection methods (excluding experiments)
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,"Draw and interpret pictograms, bar charts and vertical line charts",31;65,Pictograms | Bar charts and vertical line charts
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Draw and interpret multiple bar charts,239,Dual and stacked bar charts
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Draw and interpret pie charts,246,Pie charts with any proportion
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Draw and interpret line graphs,65,Bar charts and vertical line charts
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Choose the most appropriate diagram for given set of data,316,Analysing graphical representations
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Represent and interpret grouped quantitative data,,
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Find and interpret the range,207,"Mode, median, range from listed data"
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Compare distributions using charts,403,Comparing data sets using different representations
Year 8,Summer,Reasoning with Data,The Data Handling Cycle,Identify misleading graphs,,
Year 8,Summer,Reasoning with Data,Measures of Location,"Understand and use the mean, median and mode",132;207,"Mean as an average | Mode, median, range from listed data"
Year 8,Summer,Reasoning with Data,Measures of Location,Choose the most appropriate average,,
Year 8,Summer,Reasoning with Data,Measures of Location,Find the mean from an ungrouped frequency table,236;208;237,"Mean from ungrouped frequency tables | Combining means or dealing with changes to a mean | Median, mode and range from ungrouped frequency tables"
Year 8,Summer,Reasoning with Data,Measures of Location,Find the mean from a grouped frequency table,312,Estimating the mean from grouped frequency tables
Year 8,Summer,Reasoning with Data,Measures of Location,Identify outliers,536,Outliers
Year 8,Summer,Reasoning with Data,Measures of Location,Compare distributions using averages and the range,403,Comparing data sets using different representations
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,"Lines parallel to the axes, y = x and y = -x",63;271,"Identifying vertical, horizontal, parallel and perpendicular lines | Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)"
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Using tables of values,267,Plotting a straight line from a table of values
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Compare gradients,270,Gradient of a line
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Compare intercepts,269,x and y intercepts of a line
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Understand and use y = mx + c,271;268;274,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c) | Relationship between a line and its equation | Equations of parallel lines
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Write an equation in the form y = mx + c,272,Determining the equation of a straight line in slope-intercept or standard form
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Find the equation of a line from a graph,272,Determining the equation of a straight line in slope-intercept or standard form
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Interpret gradient and intercepts of real-life graphs,270;269,Gradient of a line | x and y intercepts of a line
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Model real-life graphs involving inverse proportion,386,Algebraic direct and inverse proportion
Year 9,Autumn,Reasoning with Algebra,Straight Line Graphs,Explore perpendicular lines,445,Equations of perpendicular lines
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Solve one- and two-step equations and inequalities,199;339,Solving linear equations where the variable appears on one side of the equation only | Solving linear inequalities in one variable
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Solve one- and two-step equations and inequalities with brackets,254;339,"Solving linear equations where the variable appears on one side of the equation only, including brackets | Solving linear inequalities in one variable"
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Inequalities with negative numbers,339,Solving linear inequalities in one variable
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Solve equations with unknowns on both sides,257,Solving linear equations where the variable appears on both sides of the equation
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Solve inequalities with unknowns on both sides,340;341,Solving linear inequalities with one variable on both sides | Solving two-ended linear inequalities and combining inequalities
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Solving equations and inequalities in context,259;342,Forming and solving linear equations from a given context (excluding angles) | Forming and solving linear inequalities from a given context
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Substituting into formulae and equations,196;197,"Further substitution with positive integers (including powers, roots and brackets) | Substitution with decimals, negative integers and fractions"
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Rearrange formulae (one-step),201,"Changing the subject where the variable appears once only, excluding brackets"
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Rearrange formulae (two-step),260,"Changing the subject of a formula where the subject appears once only, including brackets, powers and roots"
Year 9,Autumn,Reasoning with Algebra,Forming and Solving Equations,Rearrange complex formulae including brackets and squares,260;391,"Changing the subject of a formula where the subject appears once only, including brackets, powers and roots | Changing the subject of a formula where the subject appears multiple times"
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,"Factors, Multiples and Primes",52;53;97,Multiples of a number | Factors of a number | Prime numbers
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,True or False?,453,Testing conjectures and identifying counterexamples
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,"Always, Sometimes, Never true",453,Testing conjectures and identifying counterexamples
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Show that,454,Algebraic proofs involving integers
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Conjectures about number,453,Testing conjectures and identifying counterexamples
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Expand a pair of binomials,299,Expanding double brackets
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Conjectures with algebra,453,Testing conjectures and identifying counterexamples
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Explore the 100 grid,,
Year 9,Autumn,Reasoning with Algebra,Testing Conjectures,Expand three binomials,300,Expanding three (or more) brackets
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Know names of 2-D and 3-D shapes,146,Platonic solids
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Recognise prisms,142,Properties of prisms and cylinders
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Accurate nets of cuboids and other 3-D shapes,143,Nets of 3D shapes
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Sketch and recognise nets of cuboids and other 3-D shapes,143,Nets of 3D shapes
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Plans and elevations,228,"Front elevation, side elevation and plan of a 3D shape"
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Find area of 2-D shapes,138;139;140,Area of a rectangle by using the formula | Area of a parallelogram | Area of a triangle
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Surface area of cubes and cuboids,232,Surface area of a cuboid and prisms
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Surface area of triangular prisms,232,Surface area of a cuboid and prisms
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Surface area of a cylinder,234,Surface area of a cylinder
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Volume of cubes and cuboids,145;230,Volume of a cube or cuboid | Problem solving involving volume of a cuboid
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,Volume of other 3-D shapes - prisms and cylinders,231;233,Volume of a prism | Volume of a cylinder
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Three-Dimensional Shapes,"Explore volumes of cones, pyramids and spheres",405,"Volume of a pyramid, cone or sphere"
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Draw and measure angles,109;111,Measuring and drawing non-reflex angles in degrees with a protractor | Measuring and drawing reflex angles in degrees with a protractor
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct and interpret scale drawings,283,Scale drawings including map scales
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Locus of distance from a point,285,Loci
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Locus of distance from a straight line/shape,285,Loci
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Locus equidistant from two points,285,Loci
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct a perpendicular bisector,284,Constructions with lines and angles
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct a perpendicular from a point,284,Constructions with lines and angles
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct a perpendicular to a point,284,Constructions with lines and angles
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Locus of distance from two lines,285,Loci
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct an angle bisector,284,Constructions with lines and angles
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Construct triangles from given information,286;320,Drawing and constructing triangles | Further constructions involving relationships of triangles and circles
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Identify congruent figures,290,Properties of congruent shapes
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Explore congruent triangles,471,"Proving triangle congruence using SSS, SAS, ASA and RHS"
Year 9,Autumn,Constructing in 2 and 3 Dimensions,Constructions and Congruency,Identify congruent triangles,290,Properties of congruent shapes
Year 9,Spring,Reasoning with Number,Numbers,"Integers, real and rational numbers",,
Year 9,Spring,Reasoning with Number,Numbers,Understand and use surds,334,Simplifying surds
Year 9,Spring,Reasoning with Number,Numbers,Work with directed number,85;155;156,Counting up and down with negative numbers | Adding or subtracting a mixture of positive and negative numbers | Multiplying or dividing a mixture of positive and negative numbers
Year 9,Spring,Reasoning with Number,Numbers,Solve problems with integers,,
Year 9,Spring,Reasoning with Number,Numbers,Solve problems with decimals,74;122;124,Adding and subtracting decimal numbers | Multiplying a decimal (up to 2dp) by an integer | Dividing a decimal (up to 2dp) by an integer
Year 9,Spring,Reasoning with Number,Numbers,HCF and LCM,96;162,Highest Common Factor and Lowest Common Multiple by listing | Lowest Common Multiple or Highest Common Factor by prime factorisation
Year 9,Spring,Reasoning with Number,Numbers,Adding and subtracting fractions,100;117;118,Adding and subtracting fractions where the denominators are multiples of each other | Adding and subtracting fractions with any denominator | Adding and subtracting mixed numbers with different denominators
Year 9,Spring,Reasoning with Number,Numbers,Multiplying and dividing fractions,120;165;166,Multiplying proper fractions with no simplifying | Further multiplying proper fractions (including simplification) | Dividing proper and improper fractions
Year 9,Spring,Reasoning with Number,Numbers,Solving problems with fractions,,
Year 9,Spring,Reasoning with Number,Numbers,Numbers in standard form,301;302,Conversion of large numbers to and from standard form/scientific notation | Conversion of small numbers to and from standard form/scientific notation
Year 9,Spring,Reasoning with Number,Using Percentages,"Use the equivalence of fractions, decimals and percentages",172;174,"Converting between any terminating decimal, fraction and percentage less than 100% | Converting between terminating decimals, fractions and percentages greater than 100%"
Year 9,Spring,Reasoning with Number,Using Percentages,Calculate percentage increase and decrease,221;169,"Value after a general percentage change, using decimal multipliers | Fractional increase and decrease"
Year 9,Spring,Reasoning with Number,Using Percentages,Express a change as a percentage,215,Percentage change
Year 9,Spring,Reasoning with Number,Using Percentages,Solve 'reverse' percentage problems,223;170,Reverse percentage problems using decimal multipliers | Fractional original value problems
Year 9,Spring,Reasoning with Number,Using Percentages,Recognise and solve percentage problems (non-calculator),130;220,"Calculating a simple percentage of an amount, using chunking | Value after a simple percentage change, using non-calculator methods"
Year 9,Spring,Reasoning with Number,Using Percentages,Recognise and solve percentage problems (calculator),219,"Percentage of an amount, using decimal multipliers"
Year 9,Spring,Reasoning with Number,Using Percentages,Solve problems with repeated percentage change,359,Calculating values after compound percentage changes
Year 9,Spring,Reasoning with Number,Maths and Money,Solve problems with bills and bank statements,,
Year 9,Spring,Reasoning with Number,Maths and Money,Calculate simple interest,360,Financial maths (excluding compound interest)
Year 9,Spring,Reasoning with Number,Maths and Money,Calculate compound interest,359;361,Calculating values after compound percentage changes | Compound percentage problems with unknown period or step percentage change
Year 9,Spring,Reasoning with Number,Maths and Money,Solve problems with Value Added Tax,360,Financial maths (excluding compound interest)
Year 9,Spring,Reasoning with Number,Maths and Money,Calculate wages and taxes,360,Financial maths (excluding compound interest)
Year 9,Spring,Reasoning with Number,Maths and Money,Solve problems with exchange rates,177,Exchange rates
Year 9,Spring,Reasoning with Number,Maths and Money,Solve unit pricing problems,,
Year 9,Spring,Reasoning with Geometry,Deduction,Angles in parallel lines,262,"Alternate, corresponding and co-interior angles"
Year 9,Spring,Reasoning with Geometry,Deduction,Solving angles problems (using chains of reasoning),110;149;151;262,"Sum of the angles on a straight line and angles around a point | Sum of angles in a triangle | Sum of angles in a quadrilateral | Alternate, corresponding and co-interior angles"
Year 9,Spring,Reasoning with Geometry,Deduction,Angles problems with algebra,110;149;151;262;263,"Sum of the angles on a straight line and angles around a point | Sum of angles in a triangle | Sum of angles in a quadrilateral | Alternate, corresponding and co-interior angles | Algebraic expressions and equations using angle facts"
Year 9,Spring,Reasoning with Geometry,Deduction,Conjectures with angles,453,Testing conjectures and identifying counterexamples
Year 9,Spring,Reasoning with Geometry,Deduction,Conjectures with shapes,453,Testing conjectures and identifying counterexamples
Year 9,Spring,Reasoning with Geometry,Deduction,Link constructions and geometrical reasoning,284;285,Constructions with lines and angles | Loci
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Identify the order of rotational symmetry of a shape,280,Rotational symmetry
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Compare and contrast rotational symmetry with line symmetry,280,Rotational symmetry
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Rotate a shape about a point on a shape,281,Rotating a shape by a given angle around a given point
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Rotate a shape about a point not on a shape,281,Rotating a shape by a given angle around a given point
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Translate points and shapes by a given vector,374;154,Translations of shapes by a vector | Translating a shape on axes using directional language
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Compare rotation and reflection of shapes,282;279,Describing a rotation | Describing a reflection
Year 9,Spring,Reasoning with Geometry,Rotation and Translation,Find the result of a series of transformations,,
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Squares and square roots,88;157,"Power notation and calculate simple powers, e.g. squares, cubes | Roots and further powers"
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Identify the hypotenuse of a right-angled triangle,288,Pythagoras' theorem in 2D (excluding surds)
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Determine whether a triangle is right-angled,288,Pythagoras' theorem in 2D (excluding surds)
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Calculate the hypotenuse of a right-angled triangle,288,Pythagoras' theorem in 2D (excluding surds)
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Calculate missing sides in right-angled triangles,288,Pythagoras' theorem in 2D (excluding surds)
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Use Pythagoras theorem on coordinate axes,289,Distance between two points given their coordinates
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Explore proofs of Pythagoras' theorem,,
Year 9,Spring,Reasoning with Geometry,Pythagoras' Theorem,Use Pythagoras' theorem in 3-D shapes,410,Pythagoras' theorem in 3D shapes
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Recognise enlargement and similarity,291;129,Properties of similar shapes | Similar shapes with integer scale factors
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Enlarge a shape by a positive integer scale factor,294;295,Describing an enlargement/dilation for a positive integer scale factor | Enlarging/dilating a shape by a given positive integer scale factor
