Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Understand the meaning of percentage using a hundred square,106;105,Basic percentage and decimal equivalence | Understanding percentages as values out of 100
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,"Convert fluently between simple fractions, decimals and percentages",172;175,"Converting between any terminating decimal, fraction and percentage less than 100% | Comparing and ordering fractions, decimal and percentages"
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Use and interpret pie charts,131,Pie charts with simple fractions and percentages
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Represent any fraction as a diagram,54,Recognising and using fractions with denominators to 12
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Represent fractions on number lines,,
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Identify and use simple equivalent fractions,98,Fractional equivalence using factors and multiples
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,Understand fractions as division,92,Completing divisions with remainders as fractions and decimals
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,"Convert fluently between fractions, decimals and percentages",172,"Converting between any terminating decimal, fraction and percentage less than 100%"
Year 7,Autumn,Place Value and Proportion,FDP Equivalence,"Explore fractions above one, decimals and percentages",174,"Converting between terminating decimals, fractions and percentages greater than 100%"
Year 7,Spring,Application of Number,Addition and Subtraction,Properties of addition and subtraction,,
Year 7,Spring,Application of Number,Addition and Subtraction,Mental strategies for addition and subtraction,39;72,Mental addition and subtraction strategies | Number bonds with decimals
Year 7,Spring,Application of Number,Addition and Subtraction,Use formal methods for addition of integers,40,Column addition
Year 7,Spring,Application of Number,Addition and Subtraction,Use formal methods for addition of decimals,74,Adding and subtracting decimal numbers
Year 7,Spring,Application of Number,Addition and Subtraction,Use formal methods for subtraction of integers,41,Column subtraction
Year 7,Spring,Application of Number,Addition and Subtraction,Use formal methods for subtraction of decimals,74,Adding and subtracting decimal numbers
Year 7,Spring,Application of Number,Addition and Subtraction,"Choose the most appropriate method: mental, formal written or calculator",,
Year 7,Spring,Application of Number,Addition and Subtraction,Solve problems in the context of perimeter,79;180,Perimeter of a 2D shape by adding lengths | Perimeter of rectilinear shapes
Year 7,Spring,Application of Number,Addition and Subtraction,Solve financial maths problems,73,"Making up monetary values with coins and notes, with decimal notation (GBP/Euro/Dollars)"
Year 7,Spring,Application of Number,Addition and Subtraction,Solve problems involving tables and timetables,113,Reading and using timetables and distance charts
Year 7,Spring,Application of Number,Addition and Subtraction,Solve problems with frequency trees,241,Frequency trees
Year 7,Spring,Application of Number,Addition and Subtraction,Solve problems with bar charts and line charts,65,Bar charts and vertical line charts
Year 7,Spring,Application of Number,Addition and Subtraction,Add and subtract numbers given in standard form,303,Adding or subtracting numbers in standard form/scientific notation
Year 7,Spring,Application of Number,Multiplication and Division,Properties of multiplication and division,,
Year 7,Spring,Application of Number,Multiplication and Division,Understand and use factors,53,Factors of a number
Year 7,Spring,Application of Number,Multiplication and Division,Understand and use multiples,52,Multiples of a number
Year 7,Spring,Application of Number,Multiplication and Division,Multiply and divide integers and decimals by powers of 10,70,"Multiplying and dividing by 10, 100, 1000, including decimals"
Year 7,Spring,Application of Number,Multiplication and Division,Multiply by 0.1 and 0.01,70,"Multiplying and dividing by 10, 100, 1000, including decimals"
Year 7,Spring,Application of Number,Multiplication and Division,Convert metric units,107;15;108,"Converting between metric units of measure | Measuring using scales of lengths, mass and capacity | Equivalence of metric and imperial units (inches, pints, pounds and miles)"
Year 7,Spring,Application of Number,Multiplication and Division,Use formal methods to multiply integers,66;67,Short column multiplication | Long column multiplication
Year 7,Spring,Application of Number,Multiplication and Division,Use formal methods to multiply decimals,122;123,Multiplying a decimal (up to 2dp) by an integer | Multiplying decimal numbers
Year 7,Spring,Application of Number,Multiplication and Division,Use formal methods to divide integers,89;90;91,Completing short divisions with no remainders | Completing long divisions with no remainders | Completing divisions with remainders as integers
